attribute_code,label,sort_order,swatch,store_code,label_admin
color,Black,10,#111111,,
color,Noir,,,fr,Black
color,Schwarz,,,de,Black
color,Nero,,,it,Black
color,Charcoal,20,#3b3b3b,,
color,Anthracite,,,fr,Charcoal
color,Anthrazit,,,de,Charcoal
color,Antracite,,,it,Charcoal
color,Grey,30,#8d8d8d,,
color,Gris,,,fr,Grey
color,Grau,,,de,Grey
color,Grigio,,,it,Grey
color,Silver,40,#c9c9c9,,
color,Argent,,,fr,Silver
color,Silber,,,de,Silver
color,Argento,,,it,Silver
color,White,50,#f5f5f5,,
color,Blanc,,,fr,White
color,Weiß,,,de,White
color,Bianco,,,it,White
color,Ivory,60,#f1ead8,,
color,Ivoire,,,fr,Ivory
color,Elfenbein,,,de,Ivory
color,Avorio,,,it,Ivory
color,Oatmeal,70,#d9cbb3,,
color,Avoine,,,fr,Oatmeal
color,Haferbeige,,,de,Oatmeal
color,Avena,,,it,Oatmeal
color,Tan,80,#c8a27a,,
color,Fauve,,,fr,Tan
color,Hellbraun,,,de,Tan
color,Cuoio,,,it,Tan
color,Taupe,90,#8b7d6b,,
color,Taupe,,,fr,Taupe
color,Taupe,,,de,Taupe
color,Talpa,,,it,Taupe
color,Brown,100,#6b4a2b,,
color,Marron,,,fr,Brown
color,Braun,,,de,Brown
color,Marrone,,,it,Brown
color,Khaki,110,#a99c6b,,
color,Kaki,,,fr,Khaki
color,Khaki,,,de,Khaki
color,Kaki,,,it,Khaki
color,Green,120,#3c7a45,,
color,Vert,,,fr,Green
color,Grün,,,de,Green
color,Verde,,,it,Green
color,Cyan,130,#37b6c7,,
color,Cyan,,,fr,Cyan
color,Cyan,,,de,Cyan
color,Ciano,,,it,Cyan
color,Blue Light,140,#9cc3e6,,
color,Bleu clair,,,fr,Blue Light
color,Hellblau,,,de,Blue Light
color,Azzurro,,,it,Blue Light
color,Blue,150,#2f6fb5,,
color,Bleu,,,fr,Blue
color,Blau,,,de,Blue
color,Blu,,,it,Blue
color,Royal Blue,160,#2a49b8,,
color,Bleu roi,,,fr,Royal Blue
color,Königsblau,,,de,Royal Blue
color,Blu reale,,,it,Royal Blue
color,Blue Dark,170,#1f2f5a,,
color,Bleu foncé,,,fr,Blue Dark
color,Dunkelblau,,,de,Blue Dark
color,Blu scuro,,,it,Blue Dark
color,Indigo,180,#3b3f7a,,
color,Indigo,,,fr,Indigo
color,Indigo,,,de,Indigo
color,Indaco,,,it,Indigo
color,Blue Jean,190,#5a7ba8,,
color,Bleu jean,,,fr,Blue Jean
color,Jeansblau,,,de,Blue Jean
color,Blu jeans,,,it,Blue Jean
color,Purple,200,#6d3f8f,,
color,Violet,,,fr,Purple
color,Violett,,,de,Purple
color,Viola,,,it,Purple
color,Pink,210,#e39ab7,,
color,Rose,,,fr,Pink
color,Rosa,,,de,Pink
color,Rosa,,,it,Pink
color,Salmon,220,#f28c74,,
color,Saumon,,,fr,Salmon
color,Lachs,,,de,Salmon
color,Salmone,,,it,Salmon
color,Red,230,#c62f2f,,
color,Rouge,,,fr,Red
color,Rot,,,de,Red
color,Rosso,,,it,Red
color,Orange,240,#e77a2b,,
color,Orange,,,fr,Orange
color,Orange,,,de,Orange
color,Arancione,,,it,Orange
color,Yellow,250,#e9c23a,,
color,Jaune,,,fr,Yellow
color,Gelb,,,de,Yellow
color,Giallo,,,it,Yellow
color,Gold,260,#c9a75c,,
color,Or,,,fr,Gold
color,Gold,,,de,Gold
color,Oro,,,it,Gold
color,Rose Gold,270,#d9a597,,
color,Or rose,,,fr,Rose Gold
color,Roségold,,,de,Rose Gold
color,Oro rosa,,,it,Rose Gold
color,Emerald,280,#0f6b4a,,
color,Émeraude,,,fr,Emerald
color,Smaragd,,,de,Emerald
color,Smeraldo,,,it,Emerald
size,XS,10,,,
size,S,20,,,
size,M,30,,,
size,L,40,,,
size,XL,50,,,
size,XXL,60,,,
size,36,70,,,
size,37,80,,,
size,38,90,,,
size,39,100,,,
size,40,110,,,
size,41,120,,,
size,42,130,,,
size,43,140,,,
size,44,150,,,
size,45,160,,,
size,46,170,,,
size,One size,180,,,
size,Taille unique,,,fr,One size
size,Einheitsgröße,,,de,One size
